"_id",asin,cleaned_review_text,helpful.0,helpful.1,human_labelled,keywords,labelled,load_to_db,neg_doc,overall,rationales,rationals.0,rationals.1,rationals.2,rationals.3,rationals.4,rationals.5,rationals.6,rationals.7,reviewText
5a1e177778b95010ea1895d2,1384719342,Not much to write about here but it does exactly what its supposed to filters out the pop sounds now my recordings are much more crisp it is one of the lowest prices pop filters on amazon so might as well buy it they honestly work the same despite their pricing,0,0,false,,true,true,,5.0,,exactly,crisp,lowest,,,,,,"Not much to write about here, but it does exactly what it's supposed to. filters out the pop sounds. now my recordings are much more crisp. it is one of the lowest prices pop filters on amazon so might as well buy it, they honestly work the same despite their pricing,"
5a1e177778b95010ea1895d3,1384719342,"The product does exactly as it should and is quite affordable I did not realized it was double screened until it arrived so it was even better than I had expected As an added bonus one of the screens carries a small hint of the smell of an old grape candy I used to buy so for reminiscents sake I cannot stop putting the pop filter next to my nose and smelling it after recording DIf you needed a pop filter this will work just as well as the expensive ones and it may even come with a pleasing aroma like mine didBuy this product ",13,14,false,,true,true,,5.0,,does,affordable,,,,,,,"The product does exactly as it should and is quite affordable.I did not realized it was double screened until it arrived, so it was even better than I had expected.As an added bonus, one of the screens carries a small hint of the smell of an old grape candy I used to buy, so for reminiscent's sake, I cannot stop putting the pop filter next to my nose and smelling it after recording. :DIf you needed a pop filter, this will work just as well as the expensive ones, and it may even come with a pleasing aroma like mine did!Buy this product! :]"
5a1e177778b95010ea1895d4,1384719342,"The primary job of this device is to block the breath that would otherwise produce a popping sound while allowing your voice to pass through with no noticeable reduction of volume or high frequencies The double cloth filter blocks the pops and lets the voice through with no coloration The metal clamp mount attaches to the mike stand secure enough to keep it attached The goose neck needs a little coaxing to stay where you put it ",1,1,false,,true,true,,5.0,,no,noticeable,reduction,secure,,,,,"The primary job of this device is to block the breath that would otherwise produce a popping sound, while allowing your voice to pass through with no noticeable reduction of volume or high frequencies. The double cloth filter blocks the pops and lets the voice through with no coloration. The metal clamp mount attaches to the mike stand secure enough to keep it attached. The goose neck needs a little coaxing to stay where you put it."
5a1e177778b95010ea1895d5,1384719342,"Nice windscreen protects my MXL mic and prevents pops Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging ",0,0,false,,true,true,,5.0,,prevents,pops,,,,,,,Nice windscreen protects my MXL mic and prevents pops. Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.
5a1e177778b95010ea1895d6,1384719342,"This pop filter is great It looks and performs like a studio filter If youre recording vocals this will eliminate the pops that gets recorded when you sing ",0,0,false,,true,true,,5.0,,great,looks,performs,eliminate,pops,,,,This pop filter is great. It looks and performs like a studio filter. If you're recording vocals this will eliminate the pops that gets recorded when you sing.
5a1e178d78b95010ea1896eb,B0002CZVB4,"Bought it as a gift Friend loved it very much ",0,0,false,,true,true,,5.0,,loved,very,much,,,,,,Bought it as a gift. Friend loved it very much.
5a1e177778b95010ea1895d7,B00004Y2UT,So good that I bought another one Love the heavy cord and gold connectors Bass sounds great I just learned last night how to coil them up I guess I should read instructions more carefully But no harm done still works great,0,0,false,,true,true,,5.0,,good,Love,sounds,great,,,,,"So good that I bought another one.  Love the heavy cord and gold connectors.  Bass sounds great.  I just learned last night how to coil them up.  I guess I should read instructions more carefully.  But no harm done, still works great!"
5a1e177778b95010ea1895d8,B00004Y2UT,"I have used monster cables for years and with good reason The lifetime warranty is worth the price alone Simple fact cables break but getting to replace them at no cost is where its at ",0,0,false,,true,true,,5.0,,good,lifetime,warranty,worth,,,,,"I have used monster cables for years, and with good reason. The lifetime warranty is worth the price alone. Simple fact: cables break, but getting to replace them at no cost is where it's at."
5a1e177778b95010ea1895d9,B00004Y2UT,"Perfect for my Epiphone Sheraton II Monster cables are well constructed I have several and never had any problems with any of them over the years Got this one because I wanted the degree plug ",0,0,false,,true,true,,5.0,,my,cables,are,well,constructed,,,,Perfect for my Epiphone Sheraton II.  Monster cables are well constructed.  I have several and never had any problems with any of them over the years.  Got this one because I wanted the 90 degree plug.
5a1e177778b95010ea1895da,B00004Y2UT,"Monster makes the best cables and a lifetime warranty doesnt hurt either This isnt their top of the line series but it works great with my bass guitar rig and has for some time You cant go wrong with Monster Cables ",0,0,false,,true,true,,5.0,,Monster,makes,the,best,cables,doesnt,hurt,,Monster makes the best cables and a lifetime warranty doesnt hurt either. This isnt their top of the line series but it works great with my bass guitar rig and has for some time. You cant go wrong with Monster Cables.
